x,y,status,timestamp
-0.11222237348556519,-3,SUCCESS,2025-04-08 12:45:02
-0.1122,-3.005,SUCCESS,2025-04-08 12:47:31
-0.1172,-2.995,SUCCESS,2025-04-08 12:49:59
-0.1082,-3.008,SUCCESS,2025-04-08 12:52:24
-0.1199,-2.992,SUCCESS,2025-04-08 12:54:52
-0.1062,-3.002,SUCCESS,2025-04-08 12:57:20
-0.1142,-2.991,SUCCESS,2025-04-08 12:59:42
-0.1188,-3.009,SUCCESS,2025-04-08 13:02:08
-0.1052,-2.994,SUCCESS,2025-04-08 13:04:31
-0.1162,-3.007,SUCCESS,2025-04-08 13:06:56
-0.1092,-2.998,SUCCESS,2025-04-08 13:09:24
