Time,Actual,Estimated,AprilTag,IMU
0,"[[-0.05979164 -0.99769886  0.03196777 -2.26323104]
 [ 0.99819655 -0.05958853  0.00726982 -4.45463276]
 [-0.00534818  0.03234479  0.99946246  1.40465951]
 [ 0.          0.          0.          1.        ]]","[[-0.05981716 -0.9976973   0.03196873 -2.26332682]
 [ 0.99819495 -0.05961356  0.00728503 -4.45464519]
 [-0.00536248  0.0323468   0.99946232  1.40466611]
 [ 0.          0.          0.          1.        ]]",,"[[-0.05981716 -0.9976973   0.03196873 -2.26332682]
 [ 0.99819495 -0.05961356  0.00728503 -4.45464519]
 [-0.00536248  0.0323468   0.99946232  1.40466611]
 [ 0.          0.          0.          1.        ]]"
0.05,"[[-0.05978446 -0.99769926  0.03196895 -2.26324177]
 [ 0.998197   -0.05958149  0.00726536 -4.45463848]
 [-0.00534389  0.03234566  0.99946246  1.40465665]
 [ 0.          0.          0.          1.        ]]","[[-0.05980998 -0.9976977   0.03196991 -2.26348716]
 [ 0.9981954  -0.05960652  0.00728057 -4.45466444]
 [-0.00535819  0.03234767  0.99946231  1.4046445 ]
 [ 0.          0.          0.          1.        ]]",,"[[-0.05980998 -0.9976977   0.03196991 -2.26348716]
 [ 0.9981954  -0.05960652  0.00728057 -4.45466444]
 [-0.00535819  0.03234767  0.99946231  1.4046445 ]
 [ 0.          0.          0.          1.        ]]"
0.1,"[[-0.05987684 -0.99769968  0.03178234 -2.26326609]
 [ 0.99819138 -0.05967464  0.00727355 -4.45476818]
 [-0.00536022  0.03216037  0.99946835  1.4046675 ]
 [ 0.          0.          0.          1.        ]]","[[-0.05990235 -0.99769812  0.0317833  -2.26360637]
 [ 0.99818977 -0.05969967  0.00728874 -4.45474663]
 [-0.00537451  0.03216238  0.99946821  1.40425147]
 [ 0.          0.          0.          1.        ]]",,"[[-0.05990235 -0.99769812  0.0317833  -2.26360637]
 [ 0.99818977 -0.05969967  0.00728874 -4.45474663]
 [-0.00537451  0.03216238  0.99946821  1.40425147]
 [ 0.          0.          0.          1.        ]]"
0.15,"[[-0.06033348 -0.99768093  0.03150615 -2.26334381]
 [ 0.99816293 -0.06012746  0.00744663 -4.45524311]
 [-0.00553498  0.03189755  0.99947582  1.40485358]
 [ 0.          0.          0.          1.        ]]","[[-0.06035894 -0.99767936  0.03150711 -2.26243902]
 [ 0.99816131 -0.06015245  0.0074617  -4.45538309]
 [-0.00554915  0.03189956  0.99947568  1.40450349]
 [ 0.          0.          0.          1.        ]]",,"[[-0.06035894 -0.99767936  0.03150711 -2.26243902]
 [ 0.99816131 -0.06015245  0.0074617  -4.45538309]
 [-0.00554915  0.03189956  0.99947568  1.40450349]
 [ 0.          0.          0.          1.        ]]"
0.2,"[[-0.06159626 -0.99756215  0.03279717 -2.26350498]
 [ 0.99808609 -0.06138159  0.00751327 -4.45588827]
 [-0.00548181  0.03319719  0.99943379  1.40562677]
 [ 0.          0.          0.          1.        ]]","[[-0.06162177 -0.99756055  0.03279811 -2.25532113]
 [ 0.99808443 -0.06140656  0.00752997 -4.45796795]
 [-0.00549759  0.03319929  0.99943363  1.40814158]
 [ 0.          0.          0.          1.        ]]",,"[[-0.06162177 -0.99756055  0.03279811 -2.25532113]
 [ 0.99808443 -0.06140656  0.00752997 -4.45796795]
 [-0.00549759  0.03319929  0.99943363  1.40814158]
 [ 0.          0.          0.          1.        ]]"
0.25,"[[-0.06417944 -0.9974575   0.03097621 -2.2633884 ]
 [ 0.99792572 -0.06399139  0.00702544 -4.45650816]
 [-0.00502537  0.03136285  0.99949543  1.40860724]
 [ 0.          0.          0.          1.        ]]","[[-0.06420595 -0.99745577  0.03097711 -2.24641709]
 [ 0.99792396 -0.06401753  0.0070375  -4.464739  ]
 [-0.00503651  0.03136465  0.99949532  1.40372285]
 [ 0.          0.          0.          1.        ]]",,"[[-0.06420595 -0.99745577  0.03097711 -2.24641709]
 [ 0.99792396 -0.06401753  0.0070375  -4.464739  ]
 [-0.00503651  0.03136465  0.99949532  1.40372285]
 [ 0.          0.          0.          1.        ]]"
0.3,"[[-0.06773263 -0.99742131  0.02372825 -2.26297927]
 [ 0.99769207 -0.06759881  0.00639815 -4.45694685]
 [-0.00477765  0.02410685  0.99969797  1.41215968]
 [ 0.          0.          0.          1.        ]]","[[-0.06776438 -0.99741913  0.02372923 -2.24038029]
 [ 0.99768998 -0.06763089  0.00638438 -4.47408839]
 [-0.00476307  0.02410705  0.99969804  1.38472317]
 [ 0.          0.          0.          1.        ]]",,"[[-0.06776438 -0.99741913  0.02372923 -2.24038029]
 [ 0.99768998 -0.06763089  0.00638438 -4.47408839]
 [-0.00476307  0.02410705  0.99969804  1.38472317]
 [ 0.          0.          0.          1.        ]]"
0.35,"[[-0.07215741 -0.99724847  0.01699377 -2.26267648]
 [ 0.9973772  -0.07204911  0.00690197 -4.45731068]
 [-0.0056586   0.01744723  0.99983177  1.41559112]
 [ 0.          0.          0.          1.        ]]","[[-0.07218657 -0.99724634  0.01699502 -2.22964694]
 [ 0.99737535 -0.07207903  0.00685817 -4.48340335]
 [-0.0056143   0.01744548  0.99983205  1.37132057]
 [ 0.          0.          0.          1.        ]]",,"[[-0.07218657 -0.99724634  0.01699502 -2.22964694]
 [ 0.99737535 -0.07207903  0.00685817 -4.48340335]
 [-0.0056143   0.01744548  0.99983205  1.37132057]
 [ 0.          0.          0.          1.        ]]"
0.4,"[[-0.07661601 -0.99688088  0.01893418 -2.26305795]
 [ 0.99703606 -0.07646687  0.00847992 -4.45781898]
 [-0.00700563  0.01952775  0.99978477  1.41771829]
 [ 0.          0.          0.          1.        ]]","[[-0.07664801 -0.99687839  0.01893555 -2.20708736]
 [ 0.99703385 -0.07649955  0.00844498 -4.49050623]
 [-0.00697006  0.01952668  0.99978504  1.38113806]
 [ 0.          0.          0.          1.        ]]",,"[[-0.07664801 -0.99687839  0.01893555 -2.20708736]
 [ 0.99703385 -0.07649955  0.00844498 -4.49050623]
 [-0.00697006  0.01952668  0.99978504  1.38113806]
 [ 0.          0.          0.          1.        ]]"
0.45,"[[-0.08148219 -0.99651819  0.01766753 -2.26322627]
 [ 0.99664212 -0.08132317  0.00954098 -4.45825529]
 [-0.00807098  0.01838562  0.99979839  1.41996133]
 [ 0.          0.          0.          1.        ]]","[[-0.08151303 -0.99651564  0.01766911 -2.18685343]
 [ 0.99663993 -0.08135475  0.00950004 -4.50008974]
 [-0.00802947  0.01838412  0.99979876  1.38290579]
 [ 0.          0.          0.          1.        ]]",,"[[-0.08151303 -0.99651564  0.01766911 -2.18685343]
 [ 0.99663993 -0.08135475  0.00950004 -4.50008974]
 [-0.00802947  0.01838412  0.99979876  1.38290579]
 [ 0.          0.          0.          1.        ]]"
0.5,"[[-0.08674912 -0.99601323  0.02079052 -2.26361918]
 [ 0.99618519 -0.08652795  0.01131295 -4.45856476]
 [-0.00946889  0.0216926   0.99971985  1.4224304 ]
 [ 0.          0.          0.          1.        ]]","[[-0.0867851  -0.99601006  0.02079217 -2.15869247]
 [ 0.99618229 -0.08656445  0.01128884 -4.50891199]
 [-0.00944393  0.0216925   0.99972008  1.39763075]
 [ 0.          0.          0.          1.        ]]",,"[[-0.0867851  -0.99601006  0.02079217 -2.15869247]
 [ 0.99618229 -0.08656445  0.01128884 -4.50891199]
 [-0.00944393  0.0216925   0.99972008  1.39763075]
 [ 0.          0.          0.          1.        ]]"
0.55,"[[-0.092285   -0.99536193  0.02716803 -2.26411891]
 [ 0.99567504 -0.09195185  0.01326913 -4.45877218]
 [-0.01070944  0.02827507  0.99954281  1.42459178]
 [ 0.          0.          0.          1.        ]]","[[-0.09233261 -0.99535748  0.02716942 -2.12477667]
 [ 0.99567052 -0.09199913  0.01328071 -4.51792401]
 [-0.01071949  0.02827803  0.99954262  1.41951926]
 [ 0.          0.          0.          1.        ]]",,"[[-0.09233261 -0.99535748  0.02716942 -2.12477667]
 [ 0.99567052 -0.09199913  0.01328071 -4.51792401]
 [-0.01071949  0.02827803  0.99954262  1.41951926]
 [ 0.          0.          0.          1.        ]]"
0.6,"[[-0.09812969 -0.99476376  0.02855902 -2.26420689]
 [ 0.99509949 -0.09773166  0.01501772 -4.45889187]
 [-0.01214796  0.02989275  0.99947929  1.42482066]
 [ 0.          0.          0.          1.        ]]","[[-0.09817959 -0.99475881  0.02856025 -2.09627352]
 [ 0.99509434 -0.09778095  0.01503799 -4.52842193]
 [-0.01216653  0.02989657  0.99947895  1.42791845]
 [ 0.          0.          0.          1.        ]]",,"[[-0.09817959 -0.99475881  0.02856025 -2.09627352]
 [ 0.99509434 -0.09778095  0.01503799 -4.52842193]
 [-0.01216653  0.02989657  0.99947895  1.42791845]
 [ 0.          0.          0.          1.        ]]"
0.65,"[[-0.10431178 -0.99405338  0.03125592 -2.26443315]
 [ 0.99444734 -0.10381044  0.01725919 -4.45905018]
 [-0.01391187  0.0328827   0.99936239  1.42546821]
 [ 0.          0.          0.          1.        ]]","[[-0.1043674  -0.99404751  0.03125681 -2.06442627]
 [ 0.99444101 -0.10386483  0.01729692 -4.53807894]
 [-0.01394748  0.03288829  0.99936171  1.44355234]
 [ 0.          0.          0.          1.        ]]",,"[[-0.1043674  -0.99404751  0.03125681 -2.06442627]
 [ 0.99444101 -0.10386483  0.01729692 -4.53807894]
 [-0.01394748  0.03288829  0.99936171  1.44355234]
 [ 0.          0.          0.          1.        ]]"
0.7,"[[-0.11078219 -0.99326834  0.03384237 -2.26454735]
 [ 0.99372369 -0.11017306  0.01936836 -4.45932865]
 [-0.01550946  0.03577563  0.99923949  1.42630637]
 [ 0.          0.          0.          1.        ]]","[[-0.11084295 -0.99326155  0.03384281 -2.03141109]
 [ 0.99371608 -0.11023186  0.01942375 -4.54857086]
 [-0.01556231  0.03578313  0.9992384   1.45799061]
 [ 0.          0.          0.          1.        ]]",,"[[-0.11084295 -0.99326155  0.03384281 -2.03141109]
 [ 0.99371608 -0.11023186  0.01942375 -4.54857086]
 [-0.01556231  0.03578313  0.9992384   1.45799061]
 [ 0.          0.          0.          1.        ]]"
