Time,Actual,Estimated,IMU data
0,"[[-0.05979164 -0.99769886  0.03196777 -2.26323104]
 [ 0.99819655 -0.05958853  0.00726982 -4.45463276]
 [-0.00534818  0.03234479  0.99946246  1.40465951]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05981716, -0.9976973 ,  0.03196873, -2.26332682],
       [ 0.99819495, -0.05961356,  0.00728503, -4.45464519],
       [-0.00536248,  0.0323468 ,  0.99946232,  1.40466611],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)",[0.    0.    1.622 0.    0.    0.   ]
0.05,"[[-0.05978446 -0.99769926  0.03196895 -2.26324177]
 [ 0.998197   -0.05958149  0.00726536 -4.45463848]
 [-0.00534389  0.03234566  0.99946246  1.40465665]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05980998, -0.9976977 ,  0.03196991, -2.26348716],
       [ 0.9981954 , -0.05960652,  0.00728057, -4.45466444],
       [-0.00535819,  0.03234767,  0.99946231,  1.4046445 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[ 0.00000000e+00  0.00000000e+00  1.62200000e+00  8.46365411e-05
  2.25777608e-05 -1.43904179e-04]"
0.1,"[[-0.05978127 -0.99769961  0.03196384 -2.2632544 ]
 [ 0.99819721 -0.05957843  0.00726221 -4.45464611]
 [-0.00534115  0.03234036  0.99946264  1.40465128]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05980679, -0.99769805,  0.03196481, -2.26366179],
       [ 0.99819561, -0.05960346,  0.00727742, -4.45455806],
       [-0.00535545,  0.03234237,  0.9994625 ,  1.40460922],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-9.37394578e-03  5.32303214e-02  1.62009766e+00  6.10769214e-05
 -1.02599201e-04 -6.33490356e-05]"
0.15,"[[-0.05977941 -0.99769982  0.03196067 -2.26326394]
 [ 0.99819732 -0.05957656  0.00726303 -4.45465279]
 [-0.00534222  0.03233724  0.99946274  1.40464902]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05980493, -0.99769826,  0.03196164, -2.26382526],
       [ 0.99819571, -0.05960159,  0.00727824, -4.45445413],
       [-0.00535652,  0.03233925,  0.9994626 ,  1.40460166],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.36503435e-03  5.12314396e-02  1.62241007e+00 -1.76866737e-05
 -6.36713894e-05 -3.69504226e-05]"
0.2,"[[-0.05976426 -0.99770088  0.03195593 -2.26327896]
 [ 0.99819825 -0.05956159  0.00725796 -4.4546566 ]
 [-0.00533793  0.03233212  0.99946293  1.40464461]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05978978, -0.99769932,  0.0319569 , -2.26404787],
       [ 0.99819664, -0.05958662,  0.00727317, -4.4543195 ],
       [-0.00535223,  0.03233413,  0.99946278,  1.40456043],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-7.38010022e-03  5.45351949e-02  1.62020923e+00  9.18017696e-05
 -9.70910265e-05 -3.03053281e-04]"
0.25,"[[-0.05975629 -0.99770163  0.03194751 -2.26329064]
 [ 0.99819872 -0.05955366  0.0072578  -4.45465994]
 [-0.00533852  0.03232366  0.9994632   1.40464175]
 [ 0.          0.          0.          1.        ]]","(array([[-0.0597818 , -0.99770007,  0.03194848, -2.26424638],
       [ 0.99819712, -0.05957869,  0.00727301, -4.45420317],
       [-0.00535283,  0.03232567,  0.99946305,  1.40453578],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.55178710e-03  5.11055788e-02  1.62179290e+00 -1.78263621e-06
 -1.69726226e-04 -1.58885811e-04]"
0.3,"[[-0.05974499 -0.99770255  0.03193978 -2.2633121 ]
 [ 0.99819937 -0.05954228  0.00726127 -4.45466566]
 [-0.00534282  0.03231609  0.99946342  1.40463495]
 [ 0.          0.          0.          1.        ]]","(array([[-0.0597705 , -0.997701  ,  0.03194075, -2.26446082],
       [ 0.99819777, -0.05956731,  0.00727647, -4.45406099],
       [-0.00535712,  0.0323181 ,  0.99946328,  1.40452339],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-9.37599006e-03  5.63237116e-02  1.61942513e+00 -7.66321822e-05
 -1.56323699e-04 -2.25560055e-04]"
0.35,"[[-0.05972425 -0.99770388  0.03193715 -2.26332712]
 [ 0.99820064 -0.05952174  0.00725554 -4.45466948]
 [-0.00533793  0.03231302  0.99946354  1.4046315 ]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05974977, -0.99770232,  0.03193812, -2.26470707],
       [ 0.99819904, -0.05954677,  0.00727075, -4.45392606],
       [-0.00535223,  0.03231503,  0.9994634 ,  1.40449061],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-8.05746448e-03  4.98404364e-02  1.62255207e+00  1.01255412e-04
 -5.55510769e-05 -4.15124544e-04]"
0.4,"[[-0.05972014 -0.99770413  0.03193689 -2.26334214]
 [ 0.99820098 -0.05951821  0.00723737 -4.45468426]
 [-0.00531993  0.03231165  0.99946368  1.4046222 ]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05974565, -0.99770258,  0.03193786, -2.26488807],
       [ 0.99819938, -0.05954324,  0.00725258, -4.45384013],
       [-0.00533423,  0.03231366,  0.99946354,  1.40439615],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-1.29955019e-02  5.25951070e-02  1.61876310e+00  3.61005788e-04
 -5.78784847e-06 -8.24122539e-05]"
0.45,"[[-0.05971123 -0.99770486  0.03193087 -2.26335073]
 [ 0.99820152 -0.05950937  0.00723613 -4.45469379]
 [-0.00531933  0.03230553  0.99946389  1.40462005]
 [ 0.          0.          0.          1.        ]]","(array([[-0.05973675, -0.9977033 ,  0.03193184, -2.26508271],
       [ 0.99819992, -0.0595344 ,  0.00725134, -4.45372631],
       [-0.00533364,  0.03230754,  0.99946374,  1.40437798],
       [ 0.        ,  0.        ,  0.        ,  1.        ]]), False)","[-6.70261644e-03  4.97981233e-02  1.62408731e+00  1.92125551e-05
 -1.21698272e-04 -1.77779387e-04]"
